"...1","wavenumber","absorbance"
846,2364.61521,0.00018
847,2362.68649,0.00055
848,2360.75777,0.00088
849,2358.82904,0.00023
850,2356.90032,0.00067
851,2354.9716,0.00112
852,2353.04287,0.00093
853,2351.11415,0.00032
854,2349.18542,-2e-04
855,2347.2567,0.00057
856,2345.32798,0.00081
857,2343.39925,0.00112
858,2341.47053,0.00075
859,2339.54181,0.00095
860,2337.61308,0.00025
861,2335.68436,0.00019
862,2333.75563,0.00061
863,2331.82691,0.00049
864,2329.89819,-4e-05
865,2327.96946,0.00033
866,2326.04074,7e-04
867,2324.11202,5e-04
868,2322.18329,3e-04
869,2320.25457,2e-05
870,2318.32585,0.00019
871,2316.39712,1e-04
872,2314.4684,3e-05
873,2312.53967,0.00011
874,2310.61095,0.00036
875,2308.68223,0.00026
876,2306.7535,2e-04
877,2304.82478,0.00054
878,2302.89606,0.00038
879,2300.96733,8e-05
880,2299.03861,0.00029
881,2297.10989,0.00032
882,2295.18116,0.00016
883,2293.25244,0.00042
884,2291.32371,0.00027
885,2289.39499,0.00026
886,2287.46627,0.00037
887,2285.53754,8e-05
888,2283.60882,0.00044
889,2281.6801,0.00055
890,2279.75137,0.00022
891,2277.82265,0.00038
892,2275.89392,0.00028
893,2273.9652,0.00037
894,2272.03648,0.00033
895,2270.10775,0.00036
896,2268.17903,0.00028
897,2266.25031,0.00037
898,2264.32158,0.00027
899,2262.39286,0.00031
900,2260.46414,0.00051
901,2258.53541,-1e-05
902,2256.60669,0.00014
903,2254.67796,3e-05
904,2252.74924,0.00025
905,2250.82052,0.00033
906,2248.89179,-1e-05
907,2246.96307,4e-05
908,2245.03435,0.00042
909,2243.10562,7e-05
910,2241.1769,-0.00016
911,2239.24818,0.00011
912,2237.31945,1e-05
913,2235.39073,-6e-05
914,2233.462,0.00027
915,2231.53328,6e-05
916,2229.60456,0.00036
917,2227.67583,-0.00034
918,2225.74711,-0.00017
919,2223.81839,2e-05
920,2221.88966,6e-05
921,2219.96094,0
922,2218.03221,-6e-05
923,2216.10349,0.00017
924,2214.17477,-0.00023
925,2212.24604,-0.00011
926,2210.31732,-3e-04
927,2208.3886,-5e-05
928,2206.45987,-7e-05
929,2204.53115,4e-05
930,2202.60243,-6e-05
931,2200.6737,2e-05
932,2198.74498,-0.00016
933,2196.81625,-9e-05
934,2194.88753,0.00011
935,2192.95881,0.00016
936,2191.03008,0
937,2189.10136,0.00012
938,2187.17264,1e-04
939,2185.24391,-0.00016
940,2183.31519,0.00014
941,2181.38647,-0.00017
942,2179.45774,-0.00023
943,2177.52902,-5e-05
944,2175.60029,0.00028
945,2173.67157,9e-05
946,2171.74285,1e-05
947,2169.81412,-7e-05
948,2167.8854,0.00033
949,2165.95668,0.00043
950,2164.02795,0.00044
951,2162.09923,0.00039
952,2160.1705,0.00011
953,2158.24178,-1e-05
954,2156.31306,0.00033
955,2154.38433,0.00025
956,2152.45561,0.00049
957,2150.52689,0.00021
958,2148.59816,0.00052
959,2146.66944,0.00056
960,2144.74072,0.00065
961,2142.81199,0.00078
962,2140.88327,4e-04
963,2138.95454,0.00024
964,2137.02582,0
965,2135.0971,0.00032
966,2133.16837,0.00035
967,2131.23965,0.00029
968,2129.31093,0.00019
969,2127.3822,0.00052
970,2125.45348,0
971,2123.52476,0.00016
972,2121.59603,6e-05
973,2119.66731,0.00021
974,2117.73858,9e-05
975,2115.80986,0.00014
976,2113.88114,0
977,2111.95241,-5e-05
978,2110.02369,0.00027
979,2108.09497,0.00013
980,2106.16624,0.00032
981,2104.23752,0.00013
982,2102.3088,4e-05
983,2100.38007,-0.00013
984,2098.45135,-6e-05
985,2096.52262,-6e-05
986,2094.5939,2e-04
987,2092.66518,0
988,2090.73645,3e-04
989,2088.80773,0.00023
990,2086.87901,8e-05
991,2084.95028,1e-04
992,2083.02156,0.00012
993,2081.09283,0.00014
994,2079.16411,-2e-05
995,2077.23539,0.00017
996,2075.30666,0.00029
997,2073.37794,0.00052
998,2071.44922,0.00034
999,2069.52049,-9e-05
1000,2067.59177,0.00017
1001,2065.66305,-5e-05
1002,2063.73432,0.00032
1003,2061.8056,0.00014
1004,2059.87687,0.00023
1005,2057.94815,0.00038
1006,2056.01943,3e-04
1007,2054.0907,0.00058
1008,2052.16198,0.00079
1009,2050.23326,0.00067
1010,2048.30453,0.00076
1011,2046.37581,0.00124
1012,2044.44709,0.00131
1013,2042.51836,0.00148
1014,2040.58964,0.00186
1015,2038.66091,0.00194
1016,2036.73219,0.00238
1017,2034.80347,0.0027
1018,2032.87474,0.00311
1019,2030.94602,0.00314
1020,2029.0173,0.00342
1021,2027.08857,0.00386
1022,2025.15985,0.00403
1023,2023.23112,0.00429
1024,2021.3024,0.00457
1025,2019.37368,0.00477
1026,2017.44495,0.00513
1027,2015.51623,0.00528
1028,2013.58751,0.00533
1029,2011.65878,0.00575
1030,2009.73006,0.00596
1031,2007.80134,0.00598
1032,2005.87261,0.00612
1033,2003.94389,0.00617
1034,2002.01516,0.00622
1035,2000.08644,0.00638
1036,1998.15772,0.00652
1037,1996.22899,0.00652
1038,1994.30027,0.00642
1039,1992.37155,0.0062
1040,1990.44282,0.00665
1041,1988.5141,0.00676
1042,1986.58538,0.00672
1043,1984.65665,0.00671
1044,1982.72793,0.0066
1045,1980.7992,0.00656
1046,1978.87048,0.00649
1047,1976.94176,0.00629
1048,1975.01303,0.00626
1049,1973.08431,0.00632
1050,1971.15559,0.00624
1051,1969.22686,0.00622
1052,1967.29814,0.00563
1053,1965.36941,0.00561
1054,1963.44069,0.0058
1055,1961.51197,0.00541
1056,1959.58324,0.00537
1057,1957.65452,0.00534
1058,1955.7258,0.00558
1059,1953.79707,0.00519
1060,1951.86835,0.00505
1061,1949.93963,0.00487
1062,1948.0109,0.00494
1063,1946.08218,0.00434
1064,1944.15345,0.00429
1065,1942.22473,0.00395
